hour,Viking 1,Viking 2,Curiosity,Phoenix
0,740.886,825.542,855.548,794.791
1,740.099,825.638,861.445,794.65
2,737.582,825.782,861.41,794.623
3,735.41,825.906,860.254,794.777
4,733.931,825.658,856.35,795.202
5,733.4,825.441,851.922,796.063
6,734.781,825.794,851.316,797.121
7,735.657,826.121,851.441,798.493
8,735.512,825.916,848.378,799.764
9,734.506,825.649,844.709,800.873
10,731.763,824.16,836.392,801.461
11,729.208,822.621,827.238,801.214
12,727.029,820.13,819.715,800.968
13,725.504,817.729,812.641,800.728
14,725.301,817.044,807.706,800.437
15,725.02,816.358,803.216,800.063
16,724.584,815.627,803.911,799.886
17,724.594,814.982,805.588,800.025
18,725.506,815.97,814.309,799.911
19,727.757,817.056,824.389,799.39
20,732.71,820.018,831.215,798.592
21,736.812,822.898,837.445,797.35
22,739.199,824.203,843.543,796.251
23,740.818,825.449,849.638,795.381
24,740.886,825.542,855.548,794.791
