hour,Viking 1,Viking 2,Curiosity,Phoenix
0,0,0,0,10.7261
1,0,0,0,14.1982
2,0,0,0,24.1848
3,0,1.01466,0,44.6515
4,0,21.5821,0,72.0633
5,19.3352,44.904,0,110.648
6,77.6908,121.307,37.2902,151.327
7,150.398,197.526,81.6833,195.376
8,252.067,270.208,175.14,236.321
9,342.55,341.472,277.942,272.274
10,410.46,385.392,343.423,301.011
11,459.68,427.264,401.796,318.14
12,471.178,429.647,407.597,326.077
13,462.879,429.923,403.385,319.227
14,414.626,389.606,347.304,303.934
15,351.295,347.77,281.343,275.058
16,257.531,276.677,182.104,240.967
17,163.291,205.204,76.5253,198.489
18,68.0916,126.416,34.587,155.791
19,3.70011,50.2446,4.77062,112.74
20,1.4827,24.487,0,75.0168
21,0,0,0,45.8636
22,0,0,0,24.3417
23,0,0,0,15.0965
24,0,0,0,10.7261
