symbol,date,price
Viking 1,1.02,1.2
Viking 1,1.06,2.5
Viking 1,1.1,1.9
Viking 1,1.14,2.5
Viking 1,1.18,2.5
Viking 1,1.22,1.7
Viking 1,1.26,5.1
Viking 1,1.3,7.3
Viking 1,1.34,4.8
Viking 1,1.38,5.2
Viking 1,1.42,8.4
Viking 1,1.46,10
Viking 1,1.5,10.5
Viking 1,1.54,7.6
Viking 1,1.58,2.9
Viking 1,1.62,3.8
Viking 1,1.66,1.6
Viking 1,1.7,3.9
Viking 1,1.74,4.4
Viking 1,1.78,3.4
Viking 1,1.82,3.2
Viking 1,1.86,4.2
Viking 1,1.9,3.3
Viking 1,1.94,1.5
Viking 1,1.98,0.5
Viking 1,2.02,1.6
Viking 1,2.06,2.7
Viking 1,2.1,3.7
Viking 1,2.14,3.7
viking 2,1.02,0
viking 2,1.06,1.5
viking 2,1.1,1.7
viking 2,1.14,2.5
viking 2,1.18,3.3
viking 2,1.22,4
viking 2,1.26,6.5
viking 2,1.3,7.4
viking 2,1.34,4.5
viking 2,1.38,3.1
viking 2,1.42,3.3
viking 2,1.46,3.1
viking 2,1.5,2
viking 2,1.54,2.5
viking 2,1.58,1.8
viking 2,1.62,3.7
viking 2,1.66,2
viking 2,1.7,2.7
viking 2,1.74,2.9
viking 2,1.78,2.8
viking 2,1.82,1
viking 2,1.86,1.6
viking 2,1.9,1.2
viking 2,1.94,1.8
viking 2,1.98,1.3
viking 2,2.02,1.4
viking 2,2.06,2
viking 2,2.1,2.2
viking 2,2.14,2.5
