hour,Viking 1,Viking 2,Curiosity,Phoenix
0,206.47,202.308,192.857,200.43
1,204.091,199.38,190.821,197.292
2,201.761,197.125,189.21,195.48
3,199.699,194.917,187.68,195.8
4,198.176,194.268,186.315,197.774
5,197.708,193.993,184.982,202.412
6,199.376,201.427,185.972,207.466
7,203.081,208.883,187.406,213.186
8,210.901,216.236,196.246,218.687
9,218.49,223.552,206.546,223.842
10,225.553,229.574,215.1,228.44
11,231.531,235.471,223.37,232.137
12,235.365,238.534,227.801,235.237
13,238.605,241.466,231.488,237.461
14,240.628,243.312,233.095,239.198
15,241.901,245.092,234.278,240.134
16,241.697,245.017,231.428,240.397
17,239.506,244.628,227.804,239.578
18,233.323,238.119,219.19,236.788
19,227.061,231.508,209.507,230.829
20,220.607,222.57,204.554,224.36
21,215.194,213.889,200.587,217.068
22,211.882,209.546,197.64,210.478
23,208.875,205.271,194.99,205.005
24,206.47,202.308,192.857,200.43
