hour,Viking 1,Viking 2,Curiosity,Phoenix
0,3.80356,1.40968,5.3861,1.75517
1,4.19464,1.48227,6.28039,1.73299
2,4.21167,1.60721,6.60689,1.78116
3,4.2053,1.74471,6.82202,1.73097
4,3.85424,1.87869,6.94649,1.81372
5,3.56226,2.03715,7.05608,2.11316
6,3.29165,3.08235,7.24606,2.21678
7,3.25,4.40165,7.48705,2.34653
8,3.68225,4.3433,8.71128,2.38023
9,3.69443,4.50022,10.1131,1.54208
10,3.44497,3.36289,8.25132,1.00167
11,3.97974,2.41997,6.18954,0.538447
12,4.09267,1.0997,5.08428,0.976491
13,4.11935,0.999573,4.43319,1.84686
14,3.81556,1.96165,3.81673,2.51759
15,3.90876,3.05581,3.68053,2.96175
16,4.37956,3.68414,3.44383,3.27615
17,4.75981,4.27533,3.48676,3.48108
18,4.6807,3.12548,2.57746,3.39228
19,4.40109,2.02128,1.9229,2.44436
20,3.90222,1.56197,1.86835,1.89257
21,3.52221,1.29022,2.63725,1.61059
22,3.14921,1.30691,3.51567,1.57646
23,3.36004,1.35619,4.49958,1.63889
24,3.80356,1.40968,5.3861,1.75517
